country,country_name,one_star,two_star,three_star,four_star,five_star,average_rating,total_ratings,new_one_star,new_two_star,new_three_star,new_four_star,new_five_star,new_average_rating,new_total_ratings,positive,negative,neutral,new_postive,new_negative,new_neutral
AE,UAE,1,0,0,0,11,4.67,12,0,0,0,0,0,0.0,0,11,1,0,0,0,0
AT,Austria,0,0,0,0,9,5.00,9,0,0,0,0,0,0.0,0,9,0,0,0,0,0
AU,Australia,0,3,3,31,273,4.85,310,0,0,0,0,0,0.0,0,304,3,3,0,0,0
BE,Belgium,0,0,0,1,6,4.86,7,0,0,0,0,0,0.0,0,7,0,0,0,0,0
BR,Brazil,0,0,0,1,40,4.98,41,0,0,0,0,0,0.0,0,41,0,0,0,0,0
BY,Belarus,0,0,0,2,5,4.71,7,0,0,0,0,0,0.0,0,7,0,0,0,0,0
CA,Canada,17,2,16,34,368,4.68,437,0,0,0,0,0,0.0,0,402,19,16,0,0,0
CH,Switzerland,0,0,1,3,14,4.72,18,0,0,0,0,0,0.0,0,17,0,1,0,0,0
CL,Chile,1,0,1,0,21,4.74,23,0,0,0,0,0,0.0,0,21,1,1,0,0,0
CN,China,0,0,0,0,39,5.00,39,0,0,0,0,0,0.0,0,39,0,0,0,0,0
DE,Germany,1,1,0,8,61,4.79,71,0,0,0,0,0,0.0,0,69,2,0,0,0,0
DK,Denmark,0,0,0,1,7,4.88,8,0,0,0,0,0,0.0,0,8,0,0,0,0,0
ES,Spain,0,0,2,3,18,4.70,23,0,0,0,0,0,0.0,0,21,0,2,0,0,0
FI,Finland,0,0,1,0,9,4.80,10,0,0,0,0,0,0.0,0,9,0,1,0,0,0
FR,France,6,0,2,5,84,4.66,97,0,0,0,0,0,0.0,0,89,6,2,0,0,0
GB,United Kingdom,2,1,6,19,128,4.73,156,0,0,0,0,0,0.0,0,147,3,6,0,0,0
HK,Hong Kong,15,4,10,31,644,4.83,704,0,0,0,0,0,0.0,0,675,19,10,0,0,0
ID,Indonesia,1,2,0,6,133,4.89,142,0,0,0,0,0,0.0,0,139,3,0,0,0,0
IT,Italy,0,3,4,9,36,4.50,52,0,0,0,0,0,0.0,0,45,3,4,0,0,0
JP,Japan,152,55,105,386,9784,4.87,10482,0,0,0,0,0,0.0,0,10170,207,105,0,0,0
KR,South Korea,28,11,29,99,2046,4.86,2213,0,0,0,0,0,0.0,0,2145,39,29,0,0,0
MO,Macao,0,0,0,0,13,5.00,13,0,0,0,0,0,0.0,0,13,0,0,0,0,0
MX,Mexico,4,0,4,6,89,4.71,103,0,0,0,0,0,0.0,0,95,4,4,0,0,0
MY,Malaysia,1,1,2,5,116,4.87,125,0,0,0,0,0,0.0,0,121,2,2,0,0,0
NL,Netherlands,1,1,2,5,14,4.30,23,0,0,0,0,0,0.0,0,19,2,2,0,0,0
NO,Norway,0,0,0,2,8,4.80,10,0,0,0,0,0,0.0,0,10,0,0,0,0,0
NZ,New Zealand,0,0,0,2,21,4.91,23,0,0,0,0,0,0.0,0,23,0,0,0,0,0
PE,Peru,0,0,0,1,7,4.88,8,0,0,0,0,0,0.0,0,8,0,0,0,0,0
PH,Philippines,11,7,4,26,246,4.66,294,0,0,0,0,0,0.0,0,272,18,4,0,0,0
PL,Poland,0,0,1,1,8,4.70,10,0,0,0,0,0,0.0,0,9,0,1,0,0,0
RO,Romania,1,0,0,0,8,4.56,9,0,0,0,0,0,0.0,0,8,1,0,0,0,0
RU,Russia,1,1,6,4,89,4.77,101,0,0,0,0,0,0.0,0,93,2,6,0,0,0
SE,Sweden,0,0,0,2,18,4.90,20,0,0,0,0,0,0.0,0,20,0,0,0,0,0
SG,Singapore,4,1,1,19,211,4.83,236,0,0,0,0,0,0.0,0,230,5,1,0,0,0
TH,Thailand,9,2,10,36,554,4.84,611,0,0,0,0,0,0.0,0,590,11,10,0,0,0
TR,Turkey,3,1,1,2,18,4.24,25,0,0,0,0,0,0.0,0,20,4,1,0,0,0
TW,Taiwan,33,13,27,73,2703,4.90,2849,0,0,0,0,0,0.0,0,2776,46,27,0,0,0
UA,Ukraine,1,1,0,1,13,4.50,16,0,0,0,0,0,0.0,0,14,2,0,0,0,0
US,United States,32,19,38,129,2193,4.84,2411,0,0,0,0,0,0.0,0,2322,51,38,0,0,0
VN,Vietnam,1,0,4,6,115,4.86,126,0,0,0,0,0,0.0,0,121,1,4,0,0,0
ZA,South Africa,0,0,2,0,9,4.64,11,0,0,0,0,0,0.0,0,9,0,2,0,0,0
