country,country_name,one_star,two_star,three_star,four_star,five_star,average_rating,total_ratings,new_one_star,new_two_star,new_three_star,new_four_star,new_five_star,new_average_rating,new_total_ratings,positive,negative,neutral,new_postive,new_negative,new_neutral
AT,Austria,1,1,0,0,3,3.60,5,0,0,0,0,0,0.0,0,3,2,0,0,0,0
AU,Australia,5,1,1,3,17,3.96,27,4,0,1,2,7,3.57,14,20,6,1,9,4,1
BE,Belgium,2,0,0,1,8,4.18,11,0,0,0,1,4,4.80,5,9,2,0,5,0,0
BR,Brazil,3,0,2,5,18,4.25,28,1,0,2,3,5,4.00,11,23,3,2,8,1,2
CA,Canada,7,4,8,5,33,3.93,57,6,0,4,3,12,3.60,25,38,11,8,15,6,4
CH,Switzerland,2,0,0,0,12,4.43,14,1,0,0,0,5,4.33,6,12,2,0,5,1,0
CL,Chile,0,0,0,0,7,5.00,7,-2,-1,-1,-3,6,5.00,-1,7,0,0,3,-3,-1
CN,China,14,4,7,6,25,3.43,56,5,1,3,3,10,3.55,22,31,18,7,13,6,3
DE,Germany,10,4,2,7,44,4.06,67,1,1,1,1,16,4.50,20,51,14,2,17,2,1
DK,Denmark,2,0,0,1,3,3.50,6,0,0,0,0,0,0.0,0,4,2,0,0,0,0
ES,Spain,12,4,2,7,16,3.27,41,6,3,0,4,8,3.24,21,23,16,2,12,9,0
FI,Finland,0,0,1,0,4,4.60,5,0,0,0,0,0,0.0,0,4,0,1,0,0,0
FR,France,12,5,3,12,51,4.02,83,8,1,1,3,27,4.00,40,63,17,3,30,9,1
GB,United Kingdom,10,5,7,8,91,4.36,121,4,2,1,3,33,4.37,43,99,15,7,36,6,1
HK,Hong Kong,2,1,0,1,5,3.67,9,0,0,0,1,2,4.67,3,6,3,0,3,0,0
ID,Indonesia,0,1,0,1,9,4.64,11,0,0,0,0,2,5.00,2,10,1,0,2,0,0
IE,Ireland,0,2,0,0,3,3.80,5,0,0,0,0,0,0.0,0,3,2,0,0,0,0
IT,Italy,5,3,2,3,17,3.80,30,2,-1,1,-1,12,4.33,13,20,8,2,11,1,1
KR,South Korea,16,3,7,2,12,2.78,40,3,2,2,1,3,2.91,11,14,19,7,4,5,2
MX,Mexico,5,1,5,4,12,3.63,27,2,1,0,0,3,3.17,6,16,6,5,3,3,0
MY,Malaysia,2,0,1,1,6,3.90,10,0,0,0,0,2,5.00,2,7,2,1,2,0,0
NL,Netherlands,1,3,0,3,2,3.22,9,1,1,0,0,1,2.67,3,5,4,0,1,2,0
NO,Norway,2,0,3,0,3,3.25,8,1,0,2,-1,0,2.33,2,3,2,3,-1,1,2
NZ,New Zealand,1,1,0,1,3,3.67,6,0,0,0,0,1,5.00,1,4,2,0,1,0,0
PH,Philippines,0,0,0,0,17,5.00,17,0,0,0,0,8,5.00,8,17,0,0,8,0,0
PL,Poland,0,0,0,0,5,5.00,5,0,0,0,0,0,0.0,0,5,0,0,0,0,0
RU,Russia,2,1,0,1,23,4.56,27,2,0,0,0,8,4.20,10,24,3,0,8,2,0
SE,Sweden,0,0,1,1,11,4.77,13,0,0,1,0,4,4.60,5,12,0,1,4,0,1
SG,Singapore,3,0,0,0,2,2.60,5,0,-1,-2,-2,0,0.0,-5,2,3,0,-2,-1,-2
TH,Thailand,2,3,1,3,9,3.78,18,0,0,0,2,2,4.50,4,12,5,1,4,0,0
TW,Taiwan,32,2,5,2,6,1.89,47,8,0,0,0,1,1.44,9,8,34,5,1,8,0
US,United States,67,29,34,54,335,4.08,519,26,14,10,18,154,4.17,222,389,96,34,172,40,10
