country,country_name,one_star,two_star,three_star,four_star,five_star,average_rating,total_ratings,new_one_star,new_two_star,new_three_star,new_four_star,new_five_star,new_average_rating,new_total_ratings,positive,negative,neutral,new_postive,new_negative,new_neutral
AE,UAE,10,3,5,1,6,2.60,25,0,0,0,0,0,0.0,0,7,13,5,0,0,0
AU,Australia,13,6,2,12,13,3.13,46,0,0,0,0,0,0.0,0,25,19,2,0,0,0
BE,Belgium,6,0,0,0,2,2.00,8,0,0,0,0,0,0.0,0,2,6,0,0,0,0
BR,Brazil,2,2,1,3,4,3.42,12,0,0,0,0,0,0.0,0,7,4,1,0,0,0
BS,Bahamas,2,0,0,0,3,3.40,5,0,0,0,0,0,0.0,0,3,2,0,0,0,0
CA,Canada,18,11,8,11,34,3.39,82,0,0,0,0,0,0.0,0,45,29,8,0,0,0
CH,Switzerland,1,0,4,0,0,2.60,5,0,0,0,0,0,0.0,0,0,1,4,0,0,0
CL,Chile,0,0,1,1,3,4.40,5,0,0,0,0,0,0.0,0,4,0,1,0,0,0
CN,China,627,135,250,255,1009,3.39,2276,0,0,0,0,0,0.0,0,1264,762,250,0,0,0
CZ,Czech Republic,0,0,0,2,3,4.60,5,0,0,0,0,0,0.0,0,5,0,0,0,0,0
DE,Germany,2,0,2,0,6,3.80,10,0,0,0,0,0,0.0,0,6,2,2,0,0,0
DO,Dominican Republic,0,0,3,0,9,4.50,12,0,0,0,0,0,0.0,0,9,0,3,0,0,0
ES,Spain,3,1,2,1,2,2.78,9,0,0,0,0,0,0.0,0,3,4,2,0,0,0
FR,France,8,5,1,2,5,2.57,21,0,0,0,0,0,0.0,0,7,13,1,0,0,0
GB,United Kingdom,11,3,4,4,8,2.83,30,0,0,0,0,0,0.0,0,12,14,4,0,0,0
GR,Greece,0,0,0,2,6,4.75,8,0,0,0,0,0,0.0,0,8,0,0,0,0,0
HK,Hong Kong,28,2,8,7,11,2.48,56,0,0,0,0,0,0.0,0,18,30,8,0,0,0
HU,Hungary,1,0,0,1,3,4.00,5,0,0,0,0,0,0.0,0,4,1,0,0,0,0
ID,Indonesia,3,3,4,2,7,3.37,19,0,0,0,0,0,0.0,0,9,6,4,0,0,0
IL,Israel,3,0,0,0,4,3.29,7,0,0,0,0,0,0.0,0,4,3,0,0,0,0
IN,India,2,0,1,0,4,3.57,7,0,0,0,0,0,0.0,0,4,2,1,0,0,0
IT,Italy,0,3,2,5,6,3.88,16,0,0,0,0,0,0.0,0,11,3,2,0,0,0
JP,Japan,84,33,27,20,63,2.76,227,0,0,0,0,0,0.0,0,83,117,27,0,0,0
KR,South Korea,29,5,9,5,9,2.30,57,0,0,0,0,0,0.0,0,14,34,9,0,0,0
MN,Mongolia,1,0,1,0,5,4.14,7,0,0,0,0,0,0.0,0,5,1,1,0,0,0
MX,Mexico,1,1,0,1,4,3.86,7,0,0,0,0,0,0.0,0,5,2,0,0,0,0
MY,Malaysia,5,3,5,3,3,2.79,19,0,0,0,0,0,0.0,0,6,8,5,0,0,0
NL,Netherlands,3,0,1,1,1,2.50,6,0,0,0,0,0,0.0,0,2,3,1,0,0,0
NZ,New Zealand,1,4,1,1,4,3.27,11,0,0,0,0,0,0.0,0,5,5,1,0,0,0
PH,Philippines,68,31,24,17,54,2.78,194,0,0,0,0,0,0.0,0,71,99,24,0,0,0
PL,Poland,2,0,0,2,1,3.00,5,0,0,0,0,0,0.0,0,3,2,0,0,0,0
PT,Portugal,3,0,0,0,2,2.60,5,0,0,0,0,0,0.0,0,2,3,0,0,0,0
QA,Qatar,2,2,2,0,2,2.75,8,0,0,0,0,0,0.0,0,2,4,2,0,0,0
RU,Russia,6,1,3,5,11,3.54,26,0,0,0,0,0,0.0,0,16,7,3,0,0,0
SA,Saudi Arabia,1,0,0,1,3,4.00,5,0,0,0,0,0,0.0,0,4,1,0,0,0,0
SE,Sweden,2,0,0,1,3,3.50,6,0,0,0,0,0,0.0,0,4,2,0,0,0,0
SG,Singapore,7,3,10,1,4,2.68,25,0,0,0,0,0,0.0,0,5,10,10,0,0,0
TH,Thailand,13,1,4,5,10,2.94,33,0,0,0,0,0,0.0,0,15,14,4,0,0,0
TR,Turkey,8,1,3,2,11,3.28,25,0,0,0,0,0,0.0,0,13,9,3,0,0,0
TW,Taiwan,104,22,37,19,76,2.77,258,0,0,0,0,0,0.0,0,95,126,37,0,0,0
UA,Ukraine,0,0,0,1,4,4.80,5,0,0,0,0,0,0.0,0,5,0,0,0,0,0
US,United States,199,68,113,119,340,3.40,839,0,0,0,0,0,0.0,0,459,267,113,0,0,0
VN,Vietnam,0,0,0,0,5,5.00,5,0,0,0,0,0,0.0,0,5,0,0,0,0,0
